date_fin,date_debut,niveau_perturbation,typologie,voie,maitre_ouvrage,statut,identifiant,impact_circulation,geo_shape,objet,precision_localisation,cp_arrondissement,numero_stv,description,coordinates,duree(day)
2022-12-09,2022-11-07,2.0,2.0,Boulevard Saint Germain,CPCU,2,CP002417,RESTREINTE,"[[[2.319909287281812, 48.86186761016244], [2.319979701668409, 48.86186087125601], [2.320275840068681, 48.861553214070604], [2.32022933209082, 48.86152439553481], [2.319909287281812, 48.86186761016244]]]",INSPECTION_ENTRETIEN_RESEAU,Entre les n° 288 et 284,75007,12,Travaux sur chaussée,"[2.320101666097835, 48.86169758731854]",32.0
2023-03-31,2021-02-11,,3.0,rue Vernet,DIOR,2,CP001838,,"[[[2.2988730194839535, 48.87180408982155], [2.2999616525460276, 48.8714559131055], [2.2999407948877977, 48.87139749292987], [2.298815901081782, 48.87175973414693], [2.2988730194839535, 48.87180408982155]]]",REHABILITATION_IMMEUBLE,entre Bassano et Galilée,75008,9,Curage du 11/02/21 au 30/06/21,"[2.299401233940519, 48.871603037289425]",778.0
2022-12-02,2022-02-07,1.0,1.0,Avenue de la Porte des Lilas,STV,2,CP002237,RESTREINTE,"[[[2.406799024906411, 48.877323817867904], [2.4080391496518443, 48.87777014129013], [2.408176447625195, 48.87750509896566], [2.406964781230781, 48.877061602314335], [2.4068071935398696, 48.877321174746015], [2.406799024906411, 48.877323817867904]]]",REAMENAGEMENT_VOIRIE,Entre le bd Mortier et rue des Glaïeuls,75019,10,Réfection suite travaux RATP + Réaménagement de la voie,"[2.4074935777089714, 48.87741512998872]",298.0
2022-12-23,2022-11-28,2.0,1.0,Boulevard Romain Rolland,DVD - MV,2,CP002419,RESTREINTE,"[[[2.3232986361020154, 48.82026018146316], [2.32334527880287, 48.82027591300861], [2.325925546675556, 48.81971104817673], [2.325913181827505, 48.819691942122866], [2.325875316923251, 48.8196941084237], [2.325839513913608, 48.819676059205335], [2.3253827442125656, 48.819747251359715], [2.325366112780365, 48.819779282600564], [2.3253370256834986, 48.81979934471926], [2.3253152673800774, 48.81980993090872], [2.3232986361020154, 48.82026018146316]]]",REAMENAGEMENT_VOIRIE,Entre les n° 45 et 21 bd Romain Rolland avec traversée piétonne carrefour avenue Aristide Briand (coté Montrouge),75014,12,Aménagement piste cyclable,"[2.324831395686553, 48.81992865897311]",25.0
2022-12-16,2022-09-16,2.0,2.0,Rue de La croix Nivert,GRDF,2,CP002021,RESTREINTE,"[[[[2.2915111389838203, 48.841087452407784], [2.291592971736566, 48.841128130772134], [2.2916773270034434, 48.84106130887654], [2.2915913758001696, 48.84101939472699], [2.2915111389838203, 48.841087452407784]]], [[[2.291592971736566, 48.841128130772134], [2.291592050287187, 48.84112886010034], [2.29159349956246, 48.84112839291638], [2.291592971736566, 48.841128130772134]]]]",ENTRETIEN_RESEAU,Au N°148,75015,13,Renouvellement du réseau Gaz,"[2.2915935419637385, 48.841073863344576]",91.0
2022-11-30,2022-05-09,2.0,2.0,bd Haussmann,Eau de Paris,2,CP002302,RESTREINTE,"[[[2.3316373716902756, 48.8732534653637], [2.331603171589047, 48.87320172245475], [2.331353779744694, 48.873239984208894], [2.3313865857613814, 48.87330759094657], [2.331648091523213, 48.87326146099067], [2.3316385911366493, 48.873252675357705], [2.3316326862337577, 48.87324471830598], [2.3316373716902756, 48.8732534653637]]]",ENTRETIEN_RESEAU,du 44 au 46,75009,11,Renouvellement Conduite Eau potable-branchement secours Incendie,"[2.331495397342424, 48.87325341731809]",205.0
2022-11-14,2022-10-17,2.0,3.0,Charles Hermite / Impasse des Fillettes,P&MA,2,CP002394,RESTREINTE,"[[[2.365114990548996, 48.89918801931001], [2.3652927272631894, 48.89926272411063], [2.3653495043575914, 48.89919402144097], [2.3652705173230295, 48.89916029041613], [2.3651095770068764, 48.8991879906121], [2.365114990548996, 48.89918801931001]]]",RACCORDEMENT_RESEAU,Au N°48,75018,9,Raccordement sur l'ovoide d'assainissement pour l'ARENA2,"[2.3652495558831057, 48.89920412871888]",28.0
2022-12-16,2022-10-24,2.0,2.0,Av. Ernest Reyer & rue Légion étrangère,grdf,2,CP002405,RESTREINTE,"[[[2.3243464593729315, 48.82234716483746], [2.3243647803632865, 48.822348306240464], [2.3242884803293253, 48.82211824143141], [2.3242970311635616, 48.821875569117125], [2.3244383985384083, 48.82167291059828], [2.3246619508584248, 48.82152425718029], [2.324935133567113, 48.8214389437034], [2.324926295290555, 48.8214258059992], [2.3246459361862812, 48.82150869916075], [2.324416264214102, 48.8216657703679], [2.3242713221136966, 48.82187163564358], [2.3242640926766724, 48.82211585786418], [2.3243464593729315, 48.82234716483746]]]",ENTRETIEN_RESEAU,"av. Ernest Reyer : traversée au niveau du n°43
rue Légion étrangère : à proximité des quais bus",75014,12,Renouvellement réseau gaz pour la future station de carburant Total,"[2.3244490745743813, 48.8218111825158]",53.0
2022-12-02,2022-10-06,1.0,1.0,Avenue de St Oeun,MDP - DVD - MV,2,CP002409,SENS_UNIQUE,"[[[2.3289845909542746, 48.89735605124647], [2.3284912779147895, 48.8959211574386], [2.328491323950408, 48.89591758829028], [2.328437522353241, 48.895917591466684], [2.3288964547014355, 48.89733414277406], [2.3289845909542746, 48.89735605124647]]]",REAMENAGEMENT_VOIRIE,Entre la rue Leibniz et le bd Ney,75016,9,Pérennisation piste cyclable (Ph4),"[2.3287190767701818, 48.896681810602686]",57.0
2022-11-01,2021-07-15,2.0,2.0,place d'Italie /Carrefour Blanqui,RATP,2,CP001996,RESTREINTE,"[[[2.3544366868983295, 48.83116720498007], [2.3547080734152934, 48.83124919474142], [2.3548299030743762, 48.83126058869136], [2.3549459267741835, 48.8310840581258], [2.354549011188846, 48.83096112933994], [2.3544169242273565, 48.83112146689531], [2.3544366868983295, 48.83116720498007]]]",TRAVAUX_OUVRAGE,sur le terre- plein.,75013,14,"Création d'une sortie mécanisée, par phases.","[2.354675072745107, 48.83111868993894]",474.0
